time_s,x_m,y_m
0.000,0.183,0.423
1.000,0.244,0.913
2.000,0.254,1.501
3.000,0.252,2.212
4.000,0.182,2.947
5.000,0.017,3.617
6.000,-0.081,4.234
7.000,-0.165,4.924
8.000,-0.289,5.646
9.000,-0.439,6.389
10.000,-0.563,7.139
11.000,-0.685,7.945
12.000,-0.713,8.733
13.000,-0.700,9.545
14.000,-0.620,10.361
15.000,-0.540,11.148
16.000,-0.487,11.900
17.000,-0.435,12.625
18.000,-0.343,13.318
19.000,-0.237,14.000
20.000,-0.049,14.759
21.000,0.125,15.500
22.000,0.286,16.280
23.000,0.447,17.032
24.000,0.553,17.743
25.000,0.685,18.432
26.000,0.899,19.142
27.000,1.100,19.834
28.000,1.300,20.526
29.000,1.542,21.299
30.000,1.770,22.026
31.000,1.999,22.781
32.000,2.294,23.511
33.000,2.617,24.277
34.000,2.994,24.999
35.000,3.358,25.789
36.000,3.763,26.603
37.000,4.182,27.434
38.000,4.574,28.258
39.000,4.951,29.009
40.000,5.342,29.778
41.000,5.691,30.466
42.000,5.973,31.179
43.000,6.309,31.905
44.000,6.633,32.698
45.000,6.942,33.418
46.000,7.319,34.169
47.000,7.723,34.899
48.000,8.181,35.614
49.000,8.665,36.309
50.000,9.204,37.045
51.000,9.716,37.774
52.000,10.242,38.549
53.000,10.794,39.246
54.000,11.320,39.965
55.000,11.737,40.684
56.000,12.100,41.390
57.000,12.570,42.038
58.000,12.919,42.698
59.000,13.197,43.215
60.000,13.473,43.564
