time_s,x_m,y_m
0.000,0.000,0.000
1.000,0.000,0.000
2.000,0.000,0.000
3.000,0.000,0.119
4.000,0.000,0.341
5.000,0.022,0.664
6.000,0.044,1.107
7.000,0.067,1.652
8.000,0.133,2.197
9.000,0.200,2.742
10.000,0.245,3.322
11.000,0.311,3.884
12.000,0.423,4.480
13.000,0.511,5.059
14.000,0.600,5.638
15.000,0.734,6.200
16.000,0.845,6.745
17.000,0.956,7.290
18.000,1.090,7.835
19.000,1.290,8.397
20.000,1.512,8.926
21.000,1.801,9.488
22.000,2.113,10.016
23.000,2.424,10.578
24.000,2.735,11.106
25.000,3.025,11.617
26.000,3.336,12.111
27.000,3.647,12.656
28.000,3.981,13.133
29.000,4.337,13.627
30.000,4.759,14.121
31.000,5.182,14.598
32.000,5.649,14.972
33.000,6.182,15.279
34.000,6.783,15.517
35.000,7.428,15.722
36.000,8.139,15.841
37.000,8.896,15.909
38.000,9.629,15.994
39.000,10.319,16.028
40.000,11.008,16.063
41.000,11.675,16.131
42.000,12.298,16.233
43.000,12.921,16.335
44.000,13.521,16.522
45.000,14.055,16.710
46.000,14.589,16.931
47.000,15.123,17.153
48.000,15.656,17.408
49.000,16.234,17.647
50.000,16.857,17.902
51.000,17.413,18.107
52.000,17.969,18.328
53.000,18.547,18.566
54.000,19.081,18.822
55.000,19.615,19.112
56.000,20.193,19.452
57.000,20.749,19.861
58.000,21.238,20.321
59.000,21.639,20.713
60.000,21.905,21.019
